job_id,title,company,priority,subtrack,location,status,reason,applied_at
010726500581,Senior Gen AI Engineer,Trinamix Systems,P1,GENAI_APP,Pune,EXTERNAL,external company application,2026-07-05T03:14:27.686661+00:00
290626009074,Gen AI Engineer,Tata Consultancy Services,P1,GENAI_APP,"Pune, Bengaluru, New Delhi",MANUAL_REVIEW,Are you available for virtual interview on 1st July 2026,2026-07-05T03:14:33.040978+00:00
100626023410,Lead GenAI Developer,Experis,P1,GENAI_APP,Pune,MANUAL_REVIEW,Please mention your last working day? | Please mention your PAN Number? | Please mention your DOB(DD/MM/YYYY)? | Are you ready to work 2 alternate Saturdays  every month?,2026-07-05T03:14:38.453500+00:00
010726018320,Artificial Intelligence Developer,MAHLE Holding India Pvt Ltd,P1,GENAI_APP,Pune(Chinchwad),APPLIED,questionnaire resolved and submitted,2026-07-05T03:14:43.882341+00:00
010726000142,Lead AI Engineer,Amantya Technologies,P1,GENAI_APP,Hybrid - Pune,APPLIED,questionnaire resolved and submitted,2026-07-05T03:14:49.391237+00:00
290626015208,Generative AI Engineer,Yash Technologies,P1,GENAI_APP,Pune,FAILED,questionnaire submission returned unknown response,2026-07-05T03:14:54.931549+00:00
030726022255,Artificial Intelligence Engineer,Skyleaf Consultants,P1,GENAI_APP,"Pune(Chakan), Mumbai (All Areas)(Worli), Bengaluru(Whitefield)",APPLIED,questionnaire resolved and submitted,2026-07-05T03:15:00.482042+00:00
030726000068,AI Engineer,Sonata Software,P1,GENAI_APP,Hybrid - Pune,MANUAL_REVIEW,How many years of experience do you have in .Net?,2026-07-05T03:15:05.845491+00:00
300626907823,Custom Software Engineer,Accenture,P1,GENAI_APP,Pune,EXTERNAL,external company application,2026-07-05T03:15:11.000530+00:00
020726500194,MLOps Engineer,Fractal Analytics,P1,AI_PLATFORM,Pune,EXTERNAL,external company application,2026-07-05T03:15:16.160862+00:00
020726017667,Senior Engineer - GenAI,Iris Software,P1,GENAI_APP,"Hybrid - Pune, Delhi / NCR",APPLIED,questionnaire resolved and submitted,2026-07-05T03:15:21.610237+00:00
050626013211,Artificial Intelligence Engineer,Umanist India,P1,GENAI_APP,Pune(Viman Nagar),MANUAL_REVIEW,"Which LLM frameworks have you worked with extensively: LangChain, LlamaIndex, DSPY, Hugging Face, or others? | Which vector databases have you worked with (Pinecone, Weaviate, Milvus, Chroma, FAISS, etc.) and how many years? | Which cloud platform do you have stronger expertise in: Azure OpenAI or AWS Bedrock? | How have you used Docker in deploying AI/ML applications?",2026-07-05T03:15:26.981084+00:00
300626028556,Gen AI Engineer - Immediate joiner,Win Solutions,P1,GENAI_APP,"Hybrid - Pune, Chennai",MANUAL_REVIEW,How many years of experience do you have in AWS?,2026-07-05T03:15:32.329881+00:00
030726032412,AI Engineer-Pan India,Infosys,P1,GENAI_APP,"Hybrid - Pune, Bengaluru, Chennai",MANUAL_REVIEW,"Are you ex-employee of Infosys, if no mention NA, if yes please mention ex infy ID.",2026-07-05T03:15:37.662335+00:00
030726032365,Generative AI Engineer-Pan India,Infosys,P1,GENAI_APP,"Hybrid - Pune, Bengaluru, Chennai",MANUAL_REVIEW,"Are you ex-employee of Infosys, if no mention NA, if yes please mention ex infy ID.",2026-07-05T03:15:43.085815+00:00
300626016171,LLMOps/MLOps Engineer (Immediate Joiners/Currently Serving),Coforge,P1,AI_PLATFORM,"Pune, Hyderabad",APPLIED,questionnaire resolved and submitted,2026-07-05T03:15:48.668744+00:00
290626015208,Generative AI Engineer,Yash Technologies,P1,GENAI_APP,Pune,APPLIED,questionnaire resolved and submitted,2026-07-05T03:36:16.000316+00:00
300626035690,Generative AI Engineer,Coforge,P1,GENAI_APP,"Pune, Hyderabad, Greater Noida",MANUAL_REVIEW,How many years of experience do you have in Gen-Ai? | Please select the city you are currently residing or willing to relocate to,2026-07-05T03:36:21.424222+00:00
020726022399,AI/ML Lead/Architect | Generative AI & Agentic AI Engineer,Black And White Business Solutions,P1,AGENTIC,"Pune, Bengaluru, Chennai",APPLIED,questionnaire resolved and submitted,2026-07-05T03:36:27.002912+00:00
300626909341,Custom Software Engineer,Accenture,P1,AI_APPLICATION,Pune,EXTERNAL,external company application,2026-07-05T03:36:32.209500+00:00
030726016050,ML Engineer (Azure ML | MLOps | Generative AI),Ascentforce Services,P1,GENAI_APP,Remote,MANUAL_REVIEW,"How many years of hands-on experience do you have in Machine Learning engineering using Azure Machine Learning (Azure ML)? | Do you have hands-on experience with MLOps, CI/CD (GitHub Actions), Docker, Kubernetes, Terraform/Bicep, and Azure ML deployment? | Have you worked on Generative AI/LLM-based applications (RAG, Prompt Engineering, Fine-tuning, Vector Databases, AI Agents)? | Are you comfortable working remotely and visiting our Chennai or Bengaluru office once a month if required? | What is your notice period?",2026-07-05T03:36:37.562557+00:00
010726009131,GenAI Developer - Remote working,Gainwell Technologies,P1,GENAI_APP,Remote,MANUAL_REVIEW,How many years of experience do you have in Cloud? | How many years of experience do you have in Machine learning/Deep learning? | What is your notice period? | Are you currently holding any offers in hand?,2026-07-05T03:36:43.030348+00:00
020726010597,Artificial Intelligence Developer,Rootlet Solution Technology,P1,GENAI_APP,Remote,APPLIED,application completed without questionnaire,2026-07-05T03:36:48.624367+00:00
030726022268,Generative AI Engineer,The Glove,P1,GENAI_APP,India,FAILED,apply response was neither success nor questionnaire workflow,2026-07-05T03:36:54.062078+00:00
010726009857,AI Engineer,Black And White Business Solutions,P1,GENAI_APP,"Bengaluru, Hyderabad, Chennai",MANUAL_REVIEW,What is your notice period? | Please select the city you are currently residing or willing to relocate to,2026-07-05T03:36:59.444226+00:00
180626026911,Lead Generative AI Engineer,Ascendion Engineering,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,What is your notice period? | Level - 1 Interview is a test in Hacker Rank . Are you comfortable writing a hacker rank test? | Are you ok with F2F interview for Final round ?( Bangalore location),2026-07-05T03:37:04.862973+00:00
290626502880,AI Application Developer,Atqor,P1,AI_APPLICATION,Ahmedabad,EXTERNAL,external company application,2026-07-05T03:37:10.023447+00:00
010726009226,"Senior GenAI Engineer (LLM, RAG)",Ascendion Engineering,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,How many years of experience do you have in RAG? | How many years of experience do you have in Cloud? | How many years of experience do you have in Vector Database? | Are you available in Bangalore on 11th July 2026 (Saturday) for In Person Face to Face Interview? | What is your notice period?,2026-07-05T03:37:15.505511+00:00
190626004969,Gen AI,Infosys,P1,GENAI_APP,"Mumbai (All Areas), Bengaluru, Hyderabad",MANUAL_REVIEW,What is your notice period?,2026-07-05T03:37:20.916088+00:00
030626011651,"AI Engineer (Python, AI/ML, LLMs, Agentic AI)",EY,P1,AGENTIC,"Bengaluru, Bangalore Rural, Chennai",MANUAL_REVIEW,How many years of experience do you have in Agentic Ai? | What is your notice period? | Interested  for 12 month FTE,2026-07-05T03:37:26.272721+00:00
300626030743,Generative and Agentic AI Engineer,EY,P1,AGENTIC,"Hybrid - Mumbai, Bengaluru",FAILED,apply response was neither success nor questionnaire workflow,2026-07-05T03:37:31.613567+00:00
010726917310,LLM Full Stack Engineer,Accenture,P1,AI_APPLICATION,Bengaluru,EXTERNAL,external company application,2026-07-05T03:37:36.773594+00:00
030726020295,"GenAI Engineer, Software Specialist Engineer",WOW Softech,P1,GENAI_APP,"Bengaluru, Hyderabad",FAILED,apply response was neither success nor questionnaire workflow,2026-07-05T03:37:42.097751+00:00
010726929414,Gen AI - Engineer,Iris Software,P1,GENAI_APP,Noida,FAILED,apply response was neither success nor questionnaire workflow,2026-07-05T03:37:47.455056+00:00
030726502340,AI Engineer,CareerFit.ai,P1,GENAI_APP,Mumbai,EXTERNAL,external company application,2026-07-05T03:37:52.629567+00:00
030726502341,AI Engineer,CareerFit.ai,P1,GENAI_APP,Bengaluru,EXTERNAL,external company application,2026-07-05T03:37:58.072024+00:00
020726503460,AI Engineer,CareerFit.ai,P1,GENAI_APP,Chennai,EXTERNAL,external company application,2026-07-05T03:38:03.211380+00:00
250526011430,Backend Engineer (AI / LLM / Claude Applications),Althera Laboratories,P1,AI_APPLICATION,Bengaluru(Bommasandra),APPLIED,application completed without questionnaire,2026-07-05T03:38:08.526333+00:00
290626003591,Hiring - Senior_AI Developer - Velachery Chennai,Global Healthcare Billing Partners,P1,GENAI_APP,Chennai(Velachery),FAILED,apply response was neither success nor questionnaire workflow,2026-07-05T03:38:13.822694+00:00
290626033254,Applied AI Engineer,Hitachi Energy,P1,GENAI_APP,Bengaluru,MANUAL_REVIEW,How many years of experience do you have in Chatbot? | How many years of experience do you have in Machine Learning? | How many years of experience do you have in AIagents? | How many years of experience do you have in RAG? | Will you be available for the F2F interview on Saturday 11th July if your profile got shortlisted for Interview ? | What is your notice period?,2026-07-05T03:38:19.265429+00:00
290626023976,Generative AI Engineer,Xebia It Architects,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,How many years of experience do you have in Retrieval Augmented Generation? | How many years of experience do you have in MCP? | What is your notice period?,2026-07-05T03:38:24.659989+00:00
030726031282,AI Engineer,Teknuova,P1,GENAI_APP,Hybrid - Gurugram,FAILED,apply response was neither success nor questionnaire workflow,2026-07-05T03:38:29.957822+00:00
040726009305,Generative AI Engineer,Tech Mahindra,P1,GENAI_APP,"Hybrid - Bengaluru, Hyderabad, Chennai",MANUAL_REVIEW,"For Gen AI use-case, which specific LLM or embedding model is currently used & why | How long is the Gen AI use-case deployed in production | How many user are currently using the deployed Gen AI use-case in production | Indicative ROI and metric improved by the Gen AI use-case | Non functional requirement covered as part of Gen AI use-case | What is your notice period?",2026-07-05T03:38:35.398498+00:00
030726015760,Python AI Engineer (GenAI / Agentic AI),Orcapod Consulting Services,P1,AGENTIC,"Hybrid - Bengaluru, Hyderabad, Bangalore Rural",MANUAL_REVIEW,How many years of experience do you have in Agentic AI? | Current location | What is your notice period? | preferred location | What is your Last Working Day? | Please share your WhatsApp number (if call is not reachable),2026-07-05T03:38:40.852679+00:00
100626022445,Lead GenAI Engineer,Ascendion Engineering,P1,GENAI_APP,Hybrid - Bengaluru,MANUAL_REVIEW,How many years of experience do you have in Rag? | What is your notice period?,2026-07-05T03:38:46.309728+00:00
020726009348,Gen AI Engineer,Persistent,P1,GENAI_APP,"Mumbai, Bengaluru",APPLIED,application completed without questionnaire,2026-07-05T03:38:51.608512+00:00
